,Транскрипция Infinitive,Past Simple,Транскрипция Past Simple,Past Participal,Транскрипция Past Participal,Русский,Испанский,Китайский,Французский
abide,[əˈbaɪd] ,"abode, abided","[əˈboʊd], [əˈbaɪdɪd] ","abode, abided","[əˈbəʊd], [əˈbaɪdɪd] ","пребывать, держаться",acatar,留,
arise,[əˈraɪz] ,arose,[əˈroʊz] ,arisen,[əˈrɪzn] ,"подняться, возникнуть",surgir,上升,
awake,[əˈweɪk] ,awoke,[əˈwoʊk] ,"awaked, awoke","[əˈweɪkt], [əˈwəʊk] ","будить, проснуться",despierto,醒来,
backbite,[ˈbækˌbaɪt] ,backbitten,backbitten ,backbitten,[ˈbækˌbɪtn] ,"клеветать, злословить",murmurar,诽谤,
backslide,[ˈbækˌslaɪd] ,backslid,backslid ,backslid,[ˈbækˌslɪd] ,отпадать,reincidir,脱落,
be,[bi] ,"was, were","[wʌz], [wɜr] ",been,[biːn] ,быть,ser,是,
bear,[bɛr] ,bore,[bɔr] ,born,[bɔːn] ,"нести, вынашивать",oso,拿,
beat,[bit] ,beat,[bit] ,beaten,[ˈbiːtn] ,бить,golpear,打,
become,[bɪˈkʌm] ,became,[bɪˈkeɪm] ,become,[bɪˈkʌm] ,становиться,volverse,成为,
befall,[bɪˈfɔl] ,befell,[bɪˈfɛl] ,befallen,[bɪˈfɔːlən] ,случиться,acontecer,发生,
beget,[bɪˈgɛt] ,"begot, begat","[biˈgɔt], [bɪˈgæt] ",begotten,[bɪˈgɒtn] ,порождать,engendrar,生,
begin,[bɪˈgɪn] ,began,[bɪˈgæn] ,begun,[bɪˈgʌn] ,начинать,empezar,开始,
begird,[bəˈɡərd],begirt,[bɪˈgɜːt],begirt,[bɪˈgɜːt] ,опоясывать,degird,包围,
behold,[bɪˈhoʊld] ,beheld,[bɪˈhɛld],beheld,[bɪˈhɛld] ,зреть,mirad,熟,
bend,[bɛnd] ,bent,[bɛnt] ,"bent, bended","[bɛnt], [ˈbɛndɪd] ",наклоняться (в стороны),curva,低垂,
bereave,[bɪˈriːv] ,"bereft, bereaved","[bɪˈrɛft], [bɪˈriːvd]","bereft, bereaved","[bɪˈrɛft], [bɪˈriːvd] ",лишать,privar,剥夺,
beseech,[bɪˈsiːtʃ] ,"besought, beseeched","[bɪˈsɔːt], [bɪˈsiːʧt]","besought, beseeched","[bɪˈsɔːt], [bɪˈsiːʧt] ","умолять, упрашивать",implorar,央托,
beset,[bɪˈsɛt] ,beset,[bɪˈsɛt] ,beset,[bɪˈsɛt] ,осаждать,engendrar,存款,
bespeak,[bɪˈspiːk] ,bespoke,[bɪˈspəʊk],"bespoke, bespoken","[bɪˈspəʊk], [bɪˈspəʊkən] ",заказывать,encargar,定购,
bespit,[bɪˈspɪt],bespat,[bɪˈspæt],bespat,[bɪˈspæt],заплевывать,bespit,吐脏,
bestride,[bɪˈstrʌɪd],bestrode,[bɪˈstroʊd] ,bestridden,[bɪˈstrɪdn] ,"садиться, сидеть верхом",cabalgar,坐下,
bet,[bɛt] ,"bet, betted","[bɛt], [ˈbɛtid] ","bet, betted","[bɛt], [ˈbɛtɪd] ",держать пари,apuesta,赌注,
betake,[biˈteɪk] ,betook,[ˈbɛˌtʊk] ,betaken,[bɪˈteɪkən] ,"приниматься, отправляться",dirigirse,接收,
bid,[bɪd] ,bid,[bɪd] ,"bid, bidden","[bɪd], [ˈbɪdn] ","велеть, просить",oferta,嘱咐,
bind,[baɪnd] ,bound,[baʊnd] ,bound,[baʊnd] ,связать,enlazar,结在一起,
bite,[baɪt] ,bit,[bɪt] ,"bit, bitten","[bɪt], [ˈbɪtn] ",кусать,mordedura,咬,
bleed,[bliːd],bled,[blɛd] ,bled,[blɛd] ,кровоточить,sangrar,流血,
bless,[blɛs] ,blessed,[blɛst] ,"blessed, blest","[blɛst], [blɛst] ",благословлять,bendecir,保佑,
blow,[bloʊ] ,blew,[blu] ,"blown, blowed","[bləʊn], [bləʊd] ",дуть,soplar,吹,
break,[breɪk] ,broke,[broʊk] ,broken,[ˈbrəʊkən] ,"ломать, сломать",descanso,打破,
breed,[briːd],bred,[brɛd] ,bred,[brɛd] ,выращивать,raza,成长,
bring,[brɪŋ] ,brought,[brɔːt],brought,[brɔːt] ,приносить,traer,带,
broadcast,[ˈbrɔdˌkæst] ,broadcast,[ˈbrɔdˌkæst] ,broadcast,[ˈbrɔdˌkæst],"распространять, разбрасывать",emisión,扔,
browbeat,[ˈbraʊˌbit] ,browbeat,[ˈbraʊˌbit] ,browbeaten,[ˈbraʊbiːt(ə)n] ,запугивать,atemorizar,恐吓,
build,[bɪld] ,built,[bɪlt] ,built,[bɪlt] ,строить,construir,建设,
burn,[bɜrn] ,"burnt, burned","[bɜrnt], [bɜrnd] ","burnt, burned","[bɜrnt], [bɜrnd]","жечь, гореть",quemar,烧伤,
burst,[bɜrst] ,burst,[bɜrst] ,burst,[bɜrst],"разразиться, взорваться",ráfaga,爆炸,
bust,[bʌst] ,"bust, busted","[bʌst], [ˈbʌstɪd] ","bust, busted","[bʌst], [ˈbʌstɪd] ",разжаловать,busto,胸围,
buy,[baɪ] ,bought,[bɔːt],bought,[bɔːt] ,покупать,comprar,购买,
can,[kæn] ,could,[kʊd] ,could,[kʊd] ,"мочь, уметь",poder,可以,
cast,[kæst] ,cast,[kæst] ,cast,[kæst],"кинуть, лить металл",emitir,扔，铸造金属,
catch,[kæʧ] ,caught,[kɔːt],caught,[kɔːt] ,"ловить, хватать, успеть",captura,抓,
chide,[ʧaɪd] ,"chid, chided","[ʧɪd], [ˈʧaɪdɪd]","chid, chided, chidden","[ʧɪd], [ˈʧaɪdɪd], [ˈʧɪdn] ",бранить,reprendo,骂,
choose,[ʧuz] ,chose,[ʧoʊz] ,chosen,[ˈʧəʊzn] ,выбирать,escoger,选择,
cleave,[kliːv],"clove, cleft, cleaved","[kloʊv], [klɛft], [klivd]","cloven, cleft, cleaved","[ˈkləʊvn], [klɛft], [kliːvd] ",рассечь,adherirse,切,
cling,[klɪŋ] ,clung,[klʌŋ] ,clung,[klʌŋ] ,"цепляться, льнуть",adherirse,保鲜,
come,[kʌm] ,came,[keɪm] ,come,[kʌm] ,приходить,ven,来,
cost,[kɔːst],cost,[kɑst] ,cost,[kɔːst],стоить,costo,值,
countersink,[ˈkaʊntəsɪŋk],countersank,[ˈkaʊntəsaŋk],countersunk,[ˈkaʊntəsʌŋk],зенковать,avellanar,锪,
creep,[krip] ,crept,[krɛpt] ,crept,[krɛpt] ,ползти,arrastrarse,爬行,
crow,[kroʊ] ,"crowed, crew","[kroʊd], [kru] ",crowed,[krəʊd] ,петь (о петухе),cuervo,唱歌,
cut,[kʌt] ,cut,[kʌt] ,cut,[kʌt] ,резать,cortar,切,
dare,[dɛr] ,"durst, dared","[dɜrst], [dɛrd] ",dared,[dɛrd],сметь,atrevimiento,敢,
deal,[diːl],dealt,[dɛlt] ,dealt,[dɛlt] ,иметь дело,acuerdo,合同,
dig,[dɪg] ,dug,[dʌg] ,dug,[dʌg] ,копать,cavar,挖,
dive,[daɪv] ,"dived, dove","[daɪvd], [doʊv]",dived,[daɪvd] ,"нырять, погружаться",bucear,潜水,
do,[du],did,[dɪd] ,done,[dʌn] ,делать,hacer,做,
draw,[drɔː],drew,[druː],drawn,[drɔːn] ,"рисовать, тащить",dibujar,画,
dream,[driːm],"dreamt, dreamed","[ˈdremt], [ˈdriːmd]","dreamt, dreamed","[ˈdremt], [ˈdriːmd]","грезить, мечтать",sueño,做梦,
drink,[drɪŋk] ,drank,[dræŋk] ,drunk,[drʌŋk] ,пить,beber,喝,
drive,[draɪv] ,drove,[droʊv] ,driven,[ˈdrɪvn] ,водить (машину),manejar,驾驶,
dwell,[dwɛl] ,dwelt,[dwɛlt] ,dwelt,[dwɛlt] ,"обитать, задерживаться",habitar,住,
eat,[iːt],ate,[eɪt] ,eaten,[ˈiːtn] ,"кушать, есть",comer,吃,
fall,"[fɔl], [fɑl]",fell,[fɛl] ,fallen,[ˈfɔːlən] ,падать,otoño,落,
feed,[fiːd],fed,[fɛd] ,fed,[fɛd] ,кормить,alimentar,喂,
feel,[fiːl],felt,[fɛlt] ,felt,[fɛlt] ,чувствовать,sensación,感觉,
fight,[faɪt] ,fought,[fɔːt],fought,[fɔːt] ,"сражаться, бороться",lucha,斗争,
find,[faɪnd] ,found,[faʊnd] ,found,[faʊnd] ,находить,encontrar,找到,
fit,[fɪt] ,fit,[fɪt] ,fit,[fɪt] ,подходить по размеру,ajuste,适合,
flee,[fliː],fled,[flɛd] ,fled,[flɛd] ,"бежать, спасаться",huir,逃跑,
fling,[flɪŋ] ,flung,[flʌŋ] ,flung,[flʌŋ] ,бросить,arrojar,扔,
floodlight,[ˈflʌdlaɪt],"floodlighted, floodlit","[ˈflʌdlaɪtɪd], [ˈflʌdlɪt]","floodlighted, floodlit","[ˈflʌdlaɪtɪd], [ˈflʌdlɪt]",освещать прожектором,foco,泛光灯,
fly,[flaɪ] ,flew,[flu] ,flown,[fləʊn] ,летать,mosca,飞,
forbear,[fɔːrˈber],forbore,[fɔːrˈbɔːr],forborne,[fɔːrˈbɔːrn],воздерживаться,abstenerse,避免,
forbid,"[fərˈbɪd], [fɔˈbɪd] ","forbad, forbade","[fərˈbæd], [fərˈbeɪd] ",forbidden,[fəˈbɪdn] ,запрещать,prohibir,禁止,
forecast,[ˈfɔːrkæst],"forecast, forecasted","[ˈfɔrˌkæst], [ˈfɔrˌkæstɪd] ","forecast, forecasted","[ˈfɔrˌkæst], [ˈfɔrˌkæstɪd]",предсказывать,pronóstico,预测,
foresee,[fɔːrˈsiː],foresaw,[ˌfɔːrˈsɒ],foreseen,[ˌfɔːrˈsiːn],предвидеть,prever,预料,
foretell,[fɔrˈtɛl] ,foretold,[fɔrˈtoʊld] ,foretold,[fɔrˈtoʊld],предсказывать,predecir,预测,
forget,[fərˈɡet],forgot,[fərˈɡɑːt],forgotten,[fərˈɡɑːtn],забывать,olvidar,忘记,
forgive,[fərˈɡɪv],forgave,[fərˈgeɪv] ,forgiven,[fərˈɡɪvən],прощать,perdonar,原谅,
